,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,28.0,23.25,0.0,11.5,13.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,63.25,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,0.0,22.25,77.75,0.0,0.0,54.0,40.5,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,43.5,11.75,17.25,0.0,0.0,0.0,0.0,0.0,0.0,13.75,17.25,9.75,0.0,22.5,40.5,27.75,11.0,10.25,0.0,35.5,53.5,0.0,61.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,13.75,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,0.0,23.5,11.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,14.25,0.0,47.75,35.0,14.0,0.0,32.75,32.75,45.0,39.75,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,39.0,39.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,12.0,32.75,0.0,25.25,0.0,11.0,0.0,0.0,0.0,42.0,33.25,0.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,0.0,23.25,64.5,0.0,0.0,23.75,25.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,23.0,43.75,0.0,0.0,23.75,34.5,0.0,0.0,0.0,62.0,0.0,0.0,23.75,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.25,0.0,13.25,25.0,0.0,0.0,65.25,55.25,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,12.25,47.25,0.0,10.25,16.25,23.5,0.0,0.0,0.0,52.5,20.0,0.0,19.25,0.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,72.5,0.0,0.0,40.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,53.25,0.0,20.5,63.25,24.75,0.0,0.0,0.0,71.75,28.0,0.0,32.5,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,14.0,0.0,0.0,51.75,36.75,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.75,34.75,38.5,0.0,0.0,0.0,0.0,0.0,0.0,28.5,12.75,44.5,0.0,27.0,25.5,12.5,29.75,12.5,28.5,0.0,18.0,0.0,46.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.25,0.0,0.0,0.0,0.0,0.0,32.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19.0,12.75,0.0,41.5,41.5,19.0,0.0,0.0,0.0,45.5,33.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.25,0.0,47.75,38.25,0.0,0.0,34.0,10.25,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,12.25,30.0,0.0,18.25,22.0,33.5,0.0,0.0,0.0,24.5,8.75,0.0,44.5,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,45.75,58.25,0.0,0.0,25.0,24.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.5,64.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,59.75,8.25,0.0,11.5,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25,0.0,7.75,42.25,0.0,0.0,42.25,9.25,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,18.25,30.5,0.0,0.0,0.0,23.5,0.0,0.0,0.0,24.75,37.0,0.0,79.25,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,13.0,59.25,0.0,0.0,28.5,11.25,0.0,0.0,0.0,0.0,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.25,41.25,0.0,27.5,9.5,16.5,0.0,0.0,0.0,34.25,0.0,0.0,8.0,0.0,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,0.0,8.0,34.75,0.0,0.0,34.25,45.25,0.0,0.0,0.0,0.0,39.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.25,47.25,0.0,0.0,11.5,7.5,0.0,0.0,0.0,43.75,20.0,0.0,28.5,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.75,0.0,29.0,27.5,0.0,0.0,37.5,45.75,0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,40.5,52.0,0.0,23.5,12.75,20.75,0.0,0.0,0.0,25.0,35.75,0.0,10.5,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,9.75,35.5,0.0,0.0,41.5,50.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.0,67.5,0.0,0.0,0.0,32.5,0.0,0.0,0.0,21.25,39.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,36.75,48.0,0.0,0.0,42.0,16.5,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.75,0.0,37.75,0.0,0.0,0.0,0.0,0.0,18.75,9.75,0.0,18.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,24.75,9.25,0.0,0.0,67.0,60.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,46.0,0.0,37.75,35.0,26.0,0.0,0.0,0.0,13.5,15.75,0.0,59.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,49.25,44.75,0.0,0.0,58.25,36.75,0.0,0.0,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,64.5,0.0,47.5,11.0,26.0,0.0,0.0,0.0,13.5,15.75,0.0,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,37.5,33.25,0.0,0.0,83.25,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.75,0.0,0.0,11.5,36.0,0.0,32.25,20.75,12.5,11.75,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,29.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.5,28.75,0.0,59.75,52.0,27.25,0.0,0.0,0.0,62.5,34.0,0.0,32.0,0.0,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,45.0,33.5,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.75,18.5,0.0,15.75,0.0,11.75,0.0,0.0,0.0,33.5,29.5,0.0,11.75,0.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,26.75,65.25,0.0,0.0,31.0,47.25,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.5,34.5,0.0,0.0,0.0,20.5,0.0,0.0,0.0,47.5,27.25,0.0,21.5,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,0.0,10.5,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,40.5,29.0,0.0,38.5,0.0,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,0.0,16.75,0.0,0.0,42.25,42.75,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.25,24.25,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,30.75,0.0,43.25,29.75,10.25,0.0,0.0,0.0,0.0,29.0,0.0,0.0,11.25,0.0,0.0,51.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,12.5,0.0,0.0,11.25,24.5,38.25,23.25,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25,61.25,0.0,8.0,16.0,22.5,0.0,0.0,0.0,57.0,14.0,0.0,25.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,38.0,25.0,0.0,0.0,51.5,16.75,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.0,20.0,0.0,0.0,0.0,17.0,0.0,18.5,0.0,14.25,0.0,0.0,20.75,0.0,22.25,18.25,11.75,0.0,0.0,0.0,0.0,16.75,0.0,0.0,19.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,10.0,0.0,43.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,31.75,8.75,8.5,0.0,21.5,8.5,25.25,16.75,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,36.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.0,0.0,25.25,26.75,0.0,0.0,0.0,16.75,17.75,0.0,15.5,0.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,46.75,17.25,0.0,0.0,0.0,43.25,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,84.0,0.0,0.0,0.0,30.75,0.0,35.0,0.0,0.0,0.0,0.0,40.0,0.0,41.5,9.75,19.5,0.0,0.0,0.0,0.0,9.75,0.0,0.0,36.5,0.0,0.0,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75,24.25,24.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.25,0.0,0.0,0.0,15.25,0.0,20.0,0.0,12.25,0.0,0.0,12.25,0.0,40.75,16.25,15.75,0.0,0.0,0.0,0.0,10.25,0.0,0.0,19.5,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.5,12.0,29.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,4.25,0.0,0.0,0.0,22.0,0.0,12.75,0.0,24.25,0.0,0.0,37.0,0.0,71.0,35.5,20.25,0.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,15.5,0.0,0.0,0.0,4.0,15.5,55.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,25.0,9.0,11.5,29.75,0.0,0.0,0.0,21.75,11.25,0.0,11.75,0.0,8.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,39.25,0.0,23.75,33.25,0.0,0.0,31.5,37.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,36.5,0.0,0.0,0.0,24.75,0.0,21.0,0.0,19.5,0.0,0.0,17.5,0.0,20.75,0.0,14.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,12.25,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,10.0,17.0,30.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,21.5,0.0,0.0,14.0,0.0,30.0,18.75,0.0,27.0,11.25,37.75,12.0,0.0,11.5,13.0,0.0,0.0,0.0,16.5,0.0,0.0,51.0,0.0,0.0,49.25,70.5,0.0,0.0,0.0,0.0,10.25,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.5,0.0,0.0,0.0,12.75,0.0,46.0,14.5,0.0,39.25,11.0,24.25,0.0,0.0,11.5,13.5,0.0,0.0,0.0,12.75,0.0,21.75,35.0,0.0,0.0,41.5,35.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,0.0,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,28.25,24.0,0.0,0.0,41.5,13.75,12.5,32.75,12.75,45.25,38.0,48.25,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,0.0,0.0,0.0,0.0,0.0,30.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.75,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,37.5,44.25,23.25,0.0,0.0,48.25,13.75,41.0,25.25,24.25,0.0,50.75,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,0.0,8.75,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,0.0,0.0,0.0,0.0,14.25,0.0,22.5,0.0,10.75,0.0,9.25,15.0,0.0,0.0,0.0,0.0,18.75,0.0,13.25,0.0,0.0,26.25,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0,14.5,0.0,0.0,0.0,13.5,24.0,62.25,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25,0.0,20.25,0.0,0.0,0.0,92.75,67.75,0.0,0.0,0.0,0.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,13.25,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75,42.5,0.0,0.0,0.0,0.0,23.5,0.0,0.0,45.5,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,12.5,24.0,0.0,0.0,56.0,25.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.75,10.5,0.0,0.0,0.0,0.0,58.75,9.0,0.0,29.25,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,0.0,8.75,30.75,0.0,0.0,38.25,60.75,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,13.75,19.75,40.25,0.0,0.0,11.5,0.0,21.0,11.75,7.25,19.5,47.25,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0,0.0,0.0,25.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,12.5,22.5,0.0,31.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,12.75,68.5,0.0,0.0,39.25,66.5,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,14.0,31.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,35.75,32.75,26.0,0.0,34.0,32.0,36.75,12.0,29.75,11.25,44.75,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,14.75,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
