,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07
0,1.0,6.5,14.5,25.25,19.0,53.75,76.75,69.0,70.0,62.25,31.75,22.25,17.5,15.0,12.5,16.75,23.75,15.0,18.75,20.0,9.0,14.0,14.25,8.0,16.5,11.75,11.0,9.0,17.75,29.75,21.0,21.25,18.25,21.0,22.25,11.5,17.25,11.5,10.25,18.5,21.5,21.5,32.5,58.25,66.75,99.0,61.0,50.25,31.0,24.0,24.75,,,
1,0.25,7.0,27.75,17.5,20.0,64.75,96.75,66.75,85.75,44.5,37.0,28.75,17.75,13.0,12.75,13.5,18.5,19.0,24.75,16.75,17.75,11.75,10.5,16.5,17.5,16.5,12.25,16.5,19.75,23.25,29.0,19.75,20.75,14.5,16.0,15.5,16.25,13.75,14.75,22.25,26.25,25.75,46.25,68.5,94.25,89.75,63.75,53.75,43.25,40.75,30.75,,,
2,1.0,5.75,16.25,24.5,16.75,56.5,80.0,56.0,67.25,53.5,32.0,27.0,21.0,18.0,16.25,15.0,20.0,20.25,20.25,24.25,10.25,16.0,18.25,11.25,13.25,12.75,11.25,12.25,19.25,26.0,19.0,26.25,20.75,17.0,17.0,8.75,18.75,9.75,10.0,21.5,20.5,21.5,29.75,53.5,61.75,100.0,73.25,53.5,33.5,26.0,27.0,,,
3,2.0,6.0,14.0,23.0,18.5,56.5,78.5,62.5,82.0,52.75,28.25,25.25,19.0,21.5,16.75,13.0,21.0,14.0,21.0,19.25,13.75,12.75,15.75,11.75,16.75,14.0,12.5,10.75,13.75,27.75,21.25,25.25,21.5,18.5,20.75,11.25,15.25,13.5,10.75,22.25,20.5,20.75,31.0,61.75,63.75,100.0,70.5,50.75,33.75,28.0,23.0,,,
4,2.0,5.25,13.5,19.0,22.25,59.5,74.0,67.5,84.25,63.0,31.0,29.25,21.5,17.75,14.25,17.25,18.75,19.25,20.25,22.25,11.5,14.25,10.75,13.0,17.0,9.25,11.25,14.25,13.25,22.25,22.25,20.5,20.0,19.75,26.75,12.75,11.75,10.5,14.25,21.75,27.0,23.5,37.0,64.5,78.5,98.75,68.25,43.0,29.25,25.5,25.5,,,
5,1.0,5.25,11.75,21.75,19.75,56.5,78.75,54.25,67.25,51.25,26.0,23.75,17.5,17.25,15.0,15.5,21.0,19.0,20.5,20.5,13.25,15.75,12.75,10.25,15.5,12.75,13.75,10.5,16.5,27.5,18.5,23.0,19.25,15.75,19.75,11.5,17.5,9.5,13.0,17.0,21.5,22.0,34.5,54.75,61.0,100.0,62.75,43.0,31.5,22.25,21.0,,,
6,1.25,4.0,18.75,23.25,19.25,60.0,85.0,72.75,84.25,47.0,29.75,26.25,19.75,15.25,12.75,12.25,18.75,19.5,23.75,20.5,13.0,10.0,11.25,13.0,21.0,11.25,17.0,17.0,16.0,22.75,23.5,16.75,22.75,16.5,13.25,18.5,18.0,13.25,12.75,16.5,26.5,18.5,43.0,66.25,93.25,97.0,72.25,53.0,37.25,35.25,26.5,,,
7,1.5,2.25,25.75,18.0,22.75,69.75,92.75,65.5,81.75,53.0,37.25,38.5,19.0,19.5,12.0,14.0,15.75,25.0,31.75,16.75,16.25,10.25,8.25,12.75,23.5,14.0,11.25,17.25,17.25,19.75,26.25,19.25,24.75,17.25,17.5,19.75,10.5,15.25,18.5,22.0,28.75,14.25,44.5,84.75,99.0,96.25,59.25,57.75,43.75,34.75,28.0,,,
8,1.25,2.25,20.25,16.0,18.5,60.5,96.5,76.0,78.25,50.25,32.25,39.75,23.25,12.25,13.75,12.25,14.5,20.5,20.5,9.75,14.0,10.5,9.75,13.75,17.25,12.5,15.0,17.75,16.25,22.0,20.25,22.75,23.5,21.0,15.25,20.25,19.25,15.75,13.0,24.25,24.0,23.75,44.5,67.5,95.25,89.5,67.5,50.25,42.75,31.25,25.5,,,
9,1.75,3.25,17.5,18.5,21.75,59.25,96.25,54.5,59.5,37.0,37.5,20.25,20.75,17.0,11.75,8.5,16.5,16.5,15.0,16.0,11.75,8.5,11.75,10.75,11.0,7.75,9.25,11.25,16.25,17.25,15.75,15.75,23.5,10.25,16.75,18.0,11.5,4.75,12.75,15.5,17.5,21.25,41.5,54.5,89.5,87.75,39.0,44.5,35.75,29.0,25.0,,,
10,1.25,6.0,16.75,20.75,21.0,53.5,73.25,60.5,66.75,53.0,33.5,22.5,18.75,15.0,13.75,10.0,18.75,19.75,17.0,14.25,12.25,12.25,11.25,6.5,14.5,10.75,12.75,10.25,15.75,23.0,20.0,22.25,22.75,14.5,16.25,13.25,11.5,10.25,9.25,20.25,21.25,19.0,27.25,59.25,68.0,96.5,65.75,49.0,35.0,22.25,19.75,,,
11,0.5,6.0,16.25,18.25,28.75,56.75,89.0,67.25,74.75,48.0,30.75,22.75,23.25,17.25,15.0,13.5,17.25,18.75,18.75,22.5,9.75,7.25,16.5,7.0,15.5,11.5,9.25,19.5,22.75,24.25,19.25,21.5,18.75,13.75,18.0,14.0,14.5,11.0,12.25,27.25,26.5,24.75,47.0,65.0,82.5,96.0,62.0,48.0,32.25,31.75,21.25,,,
12,1.0,4.0,12.75,32.75,19.5,63.5,73.25,66.75,67.25,60.5,28.5,23.25,18.5,17.75,10.25,15.75,18.5,17.0,18.5,24.75,7.75,16.0,14.25,6.75,18.5,16.75,11.0,12.0,16.75,36.75,23.5,28.5,18.75,18.25,18.0,6.75,17.75,12.5,10.5,19.75,22.0,20.75,29.5,56.75,81.25,97.5,75.0,56.75,35.5,23.75,18.5,,,
13,0.0,7.0,23.75,12.0,23.0,64.0,82.75,51.0,79.5,44.0,32.5,32.5,21.25,14.5,12.0,14.5,19.25,18.0,23.25,17.0,16.75,8.0,13.0,13.0,13.75,12.25,12.0,14.75,23.25,19.25,20.75,20.25,26.75,11.5,18.5,13.5,14.75,15.75,12.0,24.25,22.75,24.25,43.5,71.75,95.25,82.75,60.5,46.0,38.75,27.75,22.0,15.75,,
14,,6.25,23.0,16.5,25.0,64.5,88.25,59.25,84.5,47.25,36.0,32.75,23.25,16.5,15.25,14.0,18.25,19.25,24.5,14.75,17.75,8.5,12.0,13.0,16.75,12.25,10.75,16.5,24.0,19.0,23.25,20.0,27.75,12.5,17.25,15.0,14.0,14.5,10.5,22.75,25.75,23.5,47.5,72.5,95.25,88.25,66.25,47.75,41.25,31.5,26.25,15.0,,
15,,5.0,17.25,23.0,20.75,70.0,79.5,65.75,72.5,52.5,31.5,29.5,20.5,16.0,17.75,11.0,20.5,16.75,18.75,20.5,11.75,14.0,12.0,11.0,15.5,13.5,10.0,13.75,10.75,25.0,18.5,27.0,16.5,13.5,21.25,14.0,15.5,11.75,11.75,20.25,23.0,23.0,38.75,58.5,72.5,94.5,67.75,48.0,34.75,24.5,23.0,18.5,,
16,,5.5,15.75,26.75,21.0,53.5,72.25,58.25,63.5,54.75,30.0,28.5,20.5,14.0,12.25,10.5,22.0,16.0,15.75,19.75,12.75,12.0,14.25,8.75,16.0,12.0,14.25,11.75,15.25,24.0,20.5,25.0,19.5,17.75,17.75,9.5,17.0,11.5,10.25,15.75,20.0,22.25,31.75,56.0,62.5,100.0,66.5,45.5,32.5,22.25,21.0,14.25,,
17,,2.75,27.25,17.0,25.75,62.5,94.75,61.25,88.0,40.5,32.5,31.75,23.25,14.75,12.75,15.5,18.75,20.75,17.5,14.5,16.0,8.0,10.75,15.25,18.5,11.25,14.5,19.0,18.5,17.75,22.25,20.25,23.5,16.25,14.5,16.75,13.75,13.75,17.25,23.75,21.75,23.0,48.5,66.5,94.25,89.25,61.75,51.0,43.0,35.5,24.25,14.5,,
18,,2.5,22.75,15.75,18.0,62.75,95.0,63.5,85.5,45.5,34.75,26.5,17.5,18.5,11.0,15.75,16.25,16.75,20.75,14.5,17.25,9.25,8.5,11.25,20.75,10.75,12.5,16.25,18.75,17.0,23.25,16.5,21.5,17.5,16.25,15.5,12.5,10.25,9.75,17.25,25.5,26.5,43.75,69.25,82.0,93.5,55.5,54.75,43.25,39.25,26.75,16.75,,
